,trainer,rank,users,women,men,ndcg,dtr,dpr,mitigated
171,2155,6.0,3,0,3,1.0,1.0,1.0,1
172,2155,7.0,4,0,4,1.0,1.0,1.0,0
173,2155,7.0,4,0,4,1.0,1.0,1.0,1
174,2155,8.0,4,0,4,1.0,1.0,1.0,0
175,2155,8.0,4,0,4,1.0,1.0,1.0,1
176,2155,9.0,4,0,4,1.0,1.0,1.0,0
177,2155,9.0,4,0,4,1.0,1.0,1.0,1
178,2155,10.0,4,0,4,1.0,1.0,1.0,0
179,2155,10.0,4,0,4,1.0,1.0,1.0,1
180,5201,1.0,1,1,0,,1.0,1.0,0
181,5201,1.0,1,1,0,,1.0,1.0,1
182,5201,2.0,1,1,0,,1.0,1.0,0
183,5201,2.0,1,1,0,,1.0,1.0,1
184,5201,3.0,1,1,0,,1.0,1.0,0
185,5201,3.0,1,1,0,,1.0,1.0,1
186,5201,4.0,1,1,0,,1.0,1.0,0
187,5201,4.0,1,1,0,,1.0,1.0,1
188,5201,5.0,1,1,0,,1.0,1.0,0
189,5201,5.0,1,1,0,,1.0,1.0,1
190,5201,6.0,1,1,0,,1.0,1.0,0
191,5201,6.0,1,1,0,,1.0,1.0,1
192,5201,7.0,1,1,0,,1.0,1.0,0
193,5201,7.0,1,1,0,,1.0,1.0,1
194,5201,8.0,1,1,0,,1.0,1.0,0
195,5201,8.0,1,1,0,,1.0,1.0,1
196,5201,9.0,1,1,0,,1.0,1.0,0
197,5201,9.0,1,1,0,,1.0,1.0,1
198,5201,10.0,1,1,0,,1.0,1.0,0
199,5201,10.0,1,1,0,,1.0,1.0,1
200,33,1.0,1,0,1,,1.0,1.0,0
201,33,1.0,1,0,1,,1.0,1.0,1
202,33,2.0,1,0,1,,1.0,1.0,0
203,33,2.0,1,0,1,,1.0,1.0,1
204,33,3.0,3,1,2,1.0,1.164,1.77,0
205,33,3.0,3,1,2,1.0,1.164,1.77,1
206,33,4.0,5,1,4,1.0,1.052,1.09,0
207,33,4.0,5,1,4,1.0,1.052,1.09,1
208,33,5.0,5,1,4,1.0,1.052,1.09,0
209,33,5.0,5,1,4,1.0,1.052,1.09,1
210,33,6.0,5,1,4,1.0,1.346,2.053,0
211,33,6.0,5,1,4,1.0,1.346,0.605,1
212,33,7.0,5,1,4,1.0,1.033,1.09,0
213,33,7.0,5,1,4,1.0,1.033,1.09,1
214,33,8.0,5,1,4,1.0,1.033,1.09,0
215,33,8.0,5,1,4,1.0,1.033,1.09,1
216,33,9.0,6,2,4,1.0,0.903,1.041,0
217,33,9.0,6,2,4,1.0,0.903,1.041,1
218,33,10.0,6,2,4,1.0,0.94,1.041,0
219,33,10.0,6,2,4,1.0,0.94,1.041,1
220,57,1.0,1,0,1,,1.0,1.0,0
221,57,1.0,1,0,1,,1.0,1.0,1
222,57,2.0,1,0,1,,1.0,1.0,0
223,57,2.0,1,0,1,,1.0,1.0,1
224,57,3.0,1,0,1,,1.0,1.0,0
225,57,3.0,1,0,1,,1.0,1.0,1
226,57,4.0,1,0,1,,1.0,1.0,0
227,57,4.0,1,0,1,,1.0,1.0,1
228,57,5.0,1,0,1,,1.0,1.0,0
229,57,5.0,1,0,1,,1.0,1.0,1
230,57,6.0,1,0,1,,1.0,1.0,0
231,57,6.0,1,0,1,,1.0,1.0,1
232,57,7.0,1,0,1,,1.0,1.0,0
233,57,7.0,1,0,1,,1.0,1.0,1
234,57,8.0,2,0,2,1.0,1.0,1.0,0
235,57,8.0,2,0,2,1.0,1.0,1.0,1
236,57,9.0,2,0,2,1.0,1.0,1.0,0
237,57,9.0,2,0,2,1.0,1.0,1.0,1
238,57,10.0,2,0,2,,1.0,1.0,0
239,57,10.0,2,0,2,,1.0,1.0,1
240,41,1.0,1,0,1,,1.0,1.0,0
241,41,1.0,1,0,1,,1.0,1.0,1
242,41,2.0,1,0,1,,1.0,1.0,0
243,41,2.0,1,0,1,,1.0,1.0,1
244,36,1.0,4,4,0,1.0,1.0,1.0,0
245,36,1.0,4,4,0,1.0,1.0,1.0,1
246,36,2.0,4,4,0,1.0,1.0,1.0,0
247,36,2.0,4,4,0,1.0,1.0,1.0,1
248,36,3.0,4,4,0,1.0,1.0,1.0,0
249,36,3.0,4,4,0,1.0,1.0,1.0,1
250,36,4.0,4,4,0,1.0,1.0,1.0,0
251,36,4.0,4,4,0,1.0,1.0,1.0,1
252,36,5.0,4,4,0,1.0,1.0,1.0,0
253,36,5.0,4,4,0,1.0,1.0,1.0,1
254,36,6.0,4,4,0,1.0,1.0,1.0,0
255,36,6.0,4,4,0,1.0,1.0,1.0,1
256,36,7.0,4,4,0,1.0,1.0,1.0,0
257,36,7.0,4,4,0,1.0,1.0,1.0,1
258,36,8.0,4,4,0,1.0,1.0,1.0,0
259,36,8.0,4,4,0,1.0,1.0,1.0,1
260,36,9.0,4,4,0,1.0,1.0,1.0,0
261,36,9.0,4,4,0,1.0,1.0,1.0,1
262,36,10.0,4,4,0,1.0,1.0,1.0,0
263,36,10.0,4,4,0,1.0,1.0,1.0,1
264,44,1.0,1,0,1,,1.0,1.0,0
265,44,1.0,1,0,1,,1.0,1.0,1
266,44,2.0,3,1,2,1.0,1.001,0.613,0
267,44,2.0,3,1,2,1.0,1.001,0.841,1
268,44,3.0,3,1,2,1.0,1.034,0.613,0
269,44,3.0,3,1,2,1.0,1.034,0.841,1
270,44,4.0,3,1,2,1.0,1.034,0.613,0
271,44,4.0,3,1,2,1.0,1.034,0.613,1
272,44,5.0,4,1,3,1.0,0.819,0.728,0
273,44,5.0,4,1,3,1.0,0.819,0.728,1
274,44,6.0,5,2,3,1.0,0.775,0.691,0
275,44,6.0,5,2,3,1.0,0.775,0.691,1
276,44,7.0,7,2,5,1.0,0.914,1.031,0
277,44,7.0,7,2,5,1.0,0.914,1.031,1
278,44,8.0,8,2,6,1.0,0.958,1.0,0
279,44,8.0,8,2,6,1.0,0.958,1.0,1
280,44,9.0,8,2,6,1.0,0.997,0.968,0
281,44,9.0,8,2,6,1.0,0.997,0.968,1
282,44,10.0,8,2,6,1.0,1.025,0.968,0
283,44,10.0,8,2,6,1.0,1.025,0.968,1
284,34,1.0,2,0,2,1.0,1.0,1.0,0
285,34,1.0,2,0,2,1.0,1.0,1.0,1
286,34,2.0,2,0,2,1.0,1.0,1.0,0
287,34,2.0,2,0,2,1.0,1.0,1.0,1
288,34,3.0,2,0,2,1.0,1.0,1.0,0
289,34,3.0,2,0,2,1.0,1.0,1.0,1
290,34,4.0,2,0,2,1.0,1.0,1.0,0
291,34,4.0,2,0,2,1.0,1.0,1.0,1
292,34,5.0,2,0,2,,1.0,1.0,0
293,34,5.0,2,0,2,,1.0,1.0,1
294,34,6.0,2,0,2,1.0,1.0,1.0,0
295,34,6.0,2,0,2,1.0,1.0,1.0,1
296,34,7.0,3,0,3,1.0,1.0,1.0,0
297,34,7.0,3,0,3,1.0,1.0,1.0,1
298,34,8.0,4,0,4,1.0,1.0,1.0,0
299,34,8.0,4,0,4,1.0,1.0,1.0,1
300,34,9.0,4,0,4,1.0,1.0,1.0,0
301,34,9.0,4,0,4,1.0,1.0,1.0,1
302,34,10.0,5,1,4,1.0,1.052,1.09,0
303,34,10.0,5,1,4,1.0,1.052,1.09,1
304,262,1.0,2,0,2,,1.0,1.0,0
305,262,1.0,2,0,2,,1.0,1.0,1
306,262,2.0,2,0,2,,1.0,1.0,0
307,262,2.0,2,0,2,,1.0,1.0,1
308,262,3.0,2,0,2,1.0,1.0,1.0,0
309,262,3.0,2,0,2,1.0,1.0,1.0,1
310,262,4.0,3,0,3,1.0,1.0,1.0,0
311,262,4.0,3,0,3,1.0,1.0,1.0,1
312,262,5.0,3,0,3,1.0,1.0,1.0,0
313,262,5.0,3,0,3,1.0,1.0,1.0,1
314,262,6.0,3,0,3,1.0,1.0,1.0,0
315,262,6.0,3,0,3,1.0,1.0,1.0,1
316,262,7.0,3,0,3,1.0,1.0,1.0,0
317,262,7.0,3,0,3,1.0,1.0,1.0,1
318,262,8.0,3,0,3,1.0,1.0,1.0,0
319,262,8.0,3,0,3,1.0,1.0,1.0,1
320,262,9.0,3,0,3,1.0,1.0,1.0,0
321,262,9.0,3,0,3,1.0,1.0,1.0,1
322,9477,1.0,2,0,2,1.0,1.0,1.0,0
323,9477,1.0,2,0,2,1.0,1.0,1.0,1
324,9477,2.0,2,0,2,,1.0,1.0,0
325,9477,2.0,2,0,2,,1.0,1.0,1
326,9477,3.0,2,0,2,,1.0,1.0,0
327,9477,3.0,2,0,2,,1.0,1.0,1
328,9477,4.0,2,0,2,1.0,1.0,1.0,0
329,9477,4.0,2,0,2,1.0,1.0,1.0,1
330,9477,5.0,2,0,2,1.0,1.0,1.0,0
331,9477,5.0,2,0,2,1.0,1.0,1.0,1
332,9477,6.0,2,0,2,1.0,1.0,1.0,0
333,9477,6.0,2,0,2,1.0,1.0,1.0,1
334,9477,7.0,2,0,2,1.0,1.0,1.0,0
335,9477,7.0,2,0,2,1.0,1.0,1.0,1
336,9477,8.0,3,0,3,1.0,1.0,1.0,0
337,9477,8.0,3,0,3,1.0,1.0,1.0,1
338,9477,9.0,3,0,3,1.0,1.0,1.0,0
339,9477,9.0,3,0,3,1.0,1.0,1.0,1
340,9477,10.0,3,0,3,1.0,1.0,1.0,0
341,9477,10.0,3,0,3,1.0,1.0,1.0,1
342,2588,1.0,1,1,0,,1.0,1.0,0
343,2588,1.0,1,1,0,,1.0,1.0,1
344,2588,2.0,1,1,0,,1.0,1.0,0
345,2588,2.0,1,1,0,,1.0,1.0,1
346,2588,3.0,2,1,1,,1.585,1.585,0
347,2588,3.0,2,1,1,,1.585,1.585,1
348,2588,4.0,2,1,1,,1.585,1.585,0
349,2588,4.0,2,1,1,,1.585,1.585,1
350,2588,5.0,2,1,1,,1.585,1.585,0
351,2588,5.0,2,1,1,,0.631,0.631,1
352,2588,6.0,3,1,2,1.0,1.001,0.841,0
353,2588,6.0,3,1,2,1.0,1.001,0.841,1
354,2588,7.0,3,1,2,1.0,1.262,0.841,0
355,2588,7.0,3,1,2,1.0,1.262,0.841,1
356,2588,8.0,5,2,3,1.0,0.915,0.932,0
357,2588,8.0,5,2,3,1.0,0.915,0.932,1
358,2588,9.0,5,2,3,1.0,1.152,1.553,0
359,2588,9.0,5,2,3,1.0,1.152,1.413,1
360,2588,10.0,7,3,4,1.0,1.19,1.436,0
361,2588,10.0,7,3,4,0.939762601935586,1.174,1.226,1
362,4385,1.0,1,0,1,,1.0,1.0,0
363,4385,1.0,1,0,1,,1.0,1.0,1
364,4385,2.0,1,0,1,,1.0,1.0,0
365,4385,2.0,1,0,1,,1.0,1.0,1
366,4385,3.0,1,0,1,,1.0,1.0,0
367,4385,3.0,1,0,1,,1.0,1.0,1
368,4385,4.0,1,0,1,,1.0,1.0,0
369,4385,4.0,1,0,1,,1.0,1.0,1
370,4385,5.0,1,0,1,,1.0,1.0,0
371,4385,5.0,1,0,1,,1.0,1.0,1
372,4385,6.0,1,0,1,,1.0,1.0,0
373,4385,6.0,1,0,1,,1.0,1.0,1
374,4385,7.0,1,0,1,,1.0,1.0,0
375,4385,7.0,1,0,1,,1.0,1.0,1
376,4385,8.0,1,0,1,,1.0,1.0,0
377,4385,8.0,1,0,1,,1.0,1.0,1
378,4385,9.0,1,0,1,,1.0,1.0,0
379,4385,9.0,1,0,1,,1.0,1.0,1
380,4385,10.0,2,0,2,,1.0,1.0,0
381,4385,10.0,2,0,2,,1.0,1.0,1
382,5204,1.0,1,0,1,,1.0,1.0,0
383,5204,1.0,1,0,1,,1.0,1.0,1
384,5204,2.0,1,0,1,,1.0,1.0,0
385,5204,2.0,1,0,1,,1.0,1.0,1
386,5204,3.0,2,0,2,1.0,1.0,1.0,0
387,5204,3.0,2,0,2,1.0,1.0,1.0,1
388,5204,4.0,2,0,2,1.0,1.0,1.0,0
389,5204,4.0,2,0,2,1.0,1.0,1.0,1
390,5204,5.0,3,0,3,1.0,1.0,1.0,0
391,5204,5.0,3,0,3,1.0,1.0,1.0,1
392,5204,6.0,3,0,3,1.0,1.0,1.0,0
393,5204,6.0,3,0,3,1.0,1.0,1.0,1
394,5204,7.0,3,0,3,1.0,1.0,1.0,0
395,5204,7.0,3,0,3,1.0,1.0,1.0,1
396,5204,8.0,3,0,3,1.0,1.0,1.0,0
397,5204,8.0,3,0,3,1.0,1.0,1.0,1
398,5204,9.0,4,0,4,1.0,1.0,1.0,0
399,5204,9.0,4,0,4,1.0,1.0,1.0,1
400,5204,10.0,4,0,4,1.0,1.0,1.0,0
401,5204,10.0,4,0,4,1.0,1.0,1.0,1
402,9929,1.0,2,0,2,1.0,1.0,1.0,0
403,9929,1.0,2,0,2,1.0,1.0,1.0,1
404,9929,2.0,2,0,2,1.0,1.0,1.0,0
405,9929,2.0,2,0,2,1.0,1.0,1.0,1
406,9929,3.0,4,0,4,1.0,1.0,1.0,0
407,9929,3.0,4,0,4,1.0,1.0,1.0,1
408,9929,4.0,6,1,5,1.0,0.947,0.891,0
409,9929,4.0,6,1,5,1.0,0.947,0.891,1
410,9929,5.0,7,2,5,1.0,0.949,0.932,0
411,9929,5.0,7,2,5,1.0,0.949,0.932,1
412,9929,6.0,9,2,7,1.0,1.081,1.164,0
413,9929,6.0,9,2,7,1.0,1.081,1.164,1
414,9929,7.0,10,2,8,1.0,1.125,1.221,0
415,9929,7.0,10,2,8,1.0,1.125,1.221,1
416,9929,8.0,11,2,9,1.0,1.125,1.203,0
417,9929,8.0,11,2,9,1.0,1.125,1.203,1
418,9929,9.0,12,2,10,1.0,1.192,1.318,0
419,9929,9.0,12,2,10,1.0,1.192,1.318,1
420,5203,1.0,1,0,1,,1.0,1.0,0
421,5203,1.0,1,0,1,,1.0,1.0,1
422,5203,2.0,1,0,1,,1.0,1.0,0
423,5203,2.0,1,0,1,,1.0,1.0,1
424,5203,3.0,1,0,1,,1.0,1.0,0
425,5203,3.0,1,0,1,,1.0,1.0,1
426,5203,4.0,1,0,1,,1.0,1.0,0
427,5203,4.0,1,0,1,,1.0,1.0,1
428,5203,5.0,1,0,1,,1.0,1.0,0
429,5203,5.0,1,0,1,,1.0,1.0,1
430,5203,6.0,1,0,1,,1.0,1.0,0
431,5203,6.0,1,0,1,,1.0,1.0,1
432,5203,7.0,3,0,3,1.0,1.0,1.0,0
433,5203,7.0,3,0,3,1.0,1.0,1.0,1
434,5203,8.0,3,0,3,1.0,1.0,1.0,0
435,5203,8.0,3,0,3,1.0,1.0,1.0,1
436,5203,9.0,3,0,3,1.0,1.0,1.0,0
437,5203,9.0,3,0,3,1.0,1.0,1.0,1
438,5673,1.0,1,0,1,,1.0,1.0,0
439,5673,1.0,1,0,1,,1.0,1.0,1
440,5673,2.0,3,0,3,1.0,1.0,1.0,0
441,5673,2.0,3,0,3,1.0,1.0,1.0,1
442,5673,3.0,3,0,3,1.0,1.0,1.0,0
443,5673,3.0,3,0,3,1.0,1.0,1.0,1
444,5673,4.0,3,0,3,1.0,1.0,1.0,0
445,5673,4.0,3,0,3,1.0,1.0,1.0,1
446,5673,5.0,4,0,4,1.0,1.0,1.0,0
447,5673,5.0,4,0,4,1.0,1.0,1.0,1
448,5673,6.0,4,0,4,1.0,1.0,1.0,0
449,5673,6.0,4,0,4,1.0,1.0,1.0,1
450,5673,7.0,4,0,4,1.0,1.0,1.0,0
451,5673,7.0,4,0,4,1.0,1.0,1.0,1
452,5673,8.0,4,0,4,1.0,1.0,1.0,0
453,5673,8.0,4,0,4,1.0,1.0,1.0,1
454,14490,1.0,2,2,0,1.0,1.0,1.0,0
455,14490,1.0,2,2,0,1.0,1.0,1.0,1
456,14490,2.0,2,2,0,,1.0,1.0,0
457,14490,2.0,2,2,0,,1.0,1.0,1
458,14490,3.0,2,2,0,,1.0,1.0,0
459,14490,3.0,2,2,0,,1.0,1.0,1
